Unnamed: 0,participant__session__code,participant__session_id,participant__id_in_session,participant__code,channel,sender_role,recipient_role,body,intent,,timestamp,,recipient__code,recipient_role,catalog,parameter_db,sender_reqs_at_message,sender_pars_at_message
0,umtzl2qt,1,13,u76uc0tf,1-engine_design-3-1-3,crankshaft,piston,"Hi piston! My crankshaft depends on your bore diameter. I don't yet know how, but it will probably help that you know.",Providing information,7407,1554813515,,r8fheelh,piston,0,0,"{""N"": 6500, ""T"": 220, ""NC"": 4, ""P"": 130000.0, ""LDr"": 1.75, ""m"": 17.7, ""fos"": 0}","{""D"": 105.0, ""c"": 150.0, ""t_f"": 51.0, ""ds"": 60.0}"
1,umtzl2qt,1,11,r8fheelh,1-engine_design-3-1-3,piston,crankshaft,thank you!,Accepting information/Affirmation,,1554813548,,u76uc0tf,crankshaft,0,0,"{""N"": 6500, ""T"": 220, ""NC"": 4, ""P"": 130000.0, ""LDr"": 1.75, ""m"": 24.43, ""fos"": 0.58}","{""D"": 75.0, ""c"": 150.0, ""t_f"": 12.0, ""ds"": 40.0}"
2,umtzl2qt,1,10,cbb51ylv,1-engine_design-2-1-5,pistonpin,piston,How low can you go on the piston bore diameter?,Enquiring information,,1554813562,,2wcqr3wm,piston,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 2.08, ""fos"": 0.57}","{""D"": 105.0, ""c"": 300.0, ""t_f"": 51.0, ""ds"": 60.0}"
3,umtzl2qt,1,7,4ttkk1u5,1-engine_design-2-2-3,flywheel,crankshaft,"all my fos values are in the hundreds, i suspect it depends a lot on c",Understanding the dependency,,1554813564,,ntprw190,crankshaft,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 0.97, ""fos"": 0}","{""D"": 105.0, ""c"": 300.0, ""t_f"": 10.0, ""ds"": 15.0}"
4,umtzl2qt,1,13,u76uc0tf,1-engine_design-3-2-3,crankshaft,flywheel,"Hi flywheel! My crankshaft depends on your flywheel shaft diameter(d_s) and thickness of flywheel(t_f). I don't yet know how, but it will probably help that you know!",Providing information,,1554813575,,jyel22ui,flywheel,0,0,"{""N"": 6500, ""T"": 220, ""NC"": 4, ""P"": 130000.0, ""LDr"": 1.75, ""m"": 17.7, ""fos"": 0}","{""D"": 105.0, ""c"": 150.0, ""t_f"": 51.0, ""ds"": 60.0}"
5,umtzl2qt,1,6,2wcqr3wm,1-engine_design-2-1-5,piston,pistonpin,min of 40,Providing information,,1554813594,,cbb51ylv,pistonpin,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 2.91, ""fos"": 0.57}","{""D"": 40.0, ""c"": 300.0, ""t_f"": 51.0, ""ds"": 60.0}"
6,umtzl2qt,1,10,cbb51ylv,1-engine_design-2-1-5,pistonpin,piston,What value works best for your simulation?,Enquiring information,,1554813609,,2wcqr3wm,piston,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 2.08, ""fos"": 0.57}","{""D"": 105.0, ""c"": 300.0, ""t_f"": 51.0, ""ds"": 60.0}"
7,umtzl2qt,1,20,vkz9lv6g,1-engine_design-4-1-5,pistonpin,piston,Do you have a value for the bore diameter?,Enquiring information,,1554813625,,f6uohlbr,piston,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 2.08, ""fos"": 0.57}","{""D"": 105.0, ""c"": 300.0, ""t_f"": 51.0, ""ds"": 60.0}"
8,umtzl2qt,1,6,2wcqr3wm,1-engine_design-2-1-5,piston,pistonpin,let me play around with some numbers,Exploration,,1554813635,,cbb51ylv,pistonpin,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 2.91, ""fos"": 0.57}","{""D"": 40.0, ""c"": 300.0, ""t_f"": 51.0, ""ds"": 60.0}"
9,umtzl2qt,1,12,jyel22ui,1-engine_design-3-2-3,flywheel,crankshaft,My flywheel also depends on your crankshaft bearing offset (c),Providing information,,1554813645,,u76uc0tf,crankshaft,0,0,"{""N"": 6500, ""T"": 220, ""NC"": 4, ""P"": 130000.0, ""LDr"": 1.75, ""m"": 24.43, ""fos"": 0.58}","{""D"": 75.0, ""c"": 150.0, ""t_f"": 12.0, ""ds"": 40.0}"
