,full_text,Asking_for_information,Providing_information
0,Hi piston  My crankshaft depends on your bore diameter  I don t yet know how  but it will probably help that you know ,0,1
1,How low can you go on the piston bore diameter ? ,1,0
2,all my factorofsafety values are in the hundreds  i suspect it depends a lot on bearingoffset,1,0
3,Hi flywheel  My crankshaft depends on your flywheel shaft diameter pistonborediameter _ s  and thickness of flywheel t _ f  I don t yet know how  but it will probably help that you know ,0,1
4,min of  40 ,0,1
5,What value works best for your simulation ? ,1,0
6,Do you have a value for the bore diameter ? ,1,0
7,My flywheel also depends on your crankshaft bearing offset  bearingoffset ,0,1
8,I ve just broadcasted the most recent simulation but this will definitely not be the final one ,0,1
9,Sounds good  I just tried my middle values and will broadcast that ,0,1
10,Hey I am the conrod I was curious as to what you thought a good piston diameter would be ? ,1,0
11, 45  seems decent,0,1
12,How does the flywheel thickness factor into the bearing support offset and crankshaft mass ? ,1,0
13,Hi  I need the piston diameter pistonborediameter,1,0
14,My design depends on the piston diameter  what happens if you decrease it ? ,1,0
15,Increasing the value of bearingoffset presents two adverse cases where mass increases and factorofsafety decreases so I mass tending towards bearingoffset  equals to   60 ,0,1
16, 45  seems decent  lower if we need to reduce mass,0,1
17,alright  what factorofsafety  s are you getting  my lowest factorofsafety situation is still  323 ,1,0
18, ? ,1,0
19,Based on my simulations  it seems like a smaller value of  bearingoffset  will result in an overall higher factorofsafety  do you agree ? ,1,0
20, 7   96  has been the best achieved thus far,0,1
21,based on bearingoffset  equals to   60  ? ,1,0
22,It affects the design variable  bearingoffset  which the length of the bearing support offset,0,1
23,that depends on what the thickness of the piston is for me  if I keep it the same and decrease it the mass goes down but so does the factor of safety  I mass trying to get it around  2  w  lowest mass,0,1
24,Increasing  bearingoffset  increases the mass and decreases the factorofsafety,0,1
25,Does increasing the flywheel thickness increase or decrease  bearingoffset  ? ,1,0
26,If you could reduce your  flywheelthickness  variable that would be great  :  ,0,1
27,That is what my document specifies  I will keep bearingoffset low unless the piston needs it to be higher,0,1
28,Wanna do me a favor and broadcast the value of  45 ,1,0
29,it should be  no ? ,1,0
30,alright  factorofsafety increases with df  so rn i have it minimized  but can increase if needed ,0,1
31,what seems to be the ideal piston bore diameter on your end ?  Could you explain how it affects mass and factorofsafety ? ,1,0
32,does it help you if I reduce that value at all ? ,1,0
33,does it help you if I reduce that value at all ? ,1,0
34,my system is probably not the limiting part,0,1
35,Hey  How does the value of my crank pin diameter affect your design ? ,1,0
36,you re in charge of the crankshaft bearing offset  right ? ,1,0
37,Hello  Have you determined what you would like the piston bore diameter  pistonborediameter  to be ? ,1,0
38,What does changing that do ? ,1,0
39,Yeah but  45  should be fine if you dont want to go lower,0,1
40,Hello pistonpin  The crankshaft doesn t dep 3 end directly on your system  but please tell me if anything that I do affects you ,0,1
41,If it s important  increasing  flywheelthickness  increases mass but decreases factorofsafety,0,1
42,Not much it doesn t really do anything to the factor of safety but it brings the mass down,0,1
43,Right now it says we have an excellent design,0,1
44,I do not think it has any effect,0,1
45,just reduced thickness to reduce mass  increased factorofsafety a bit,0,1
46,I can probably drop some mass out of my part  but can also take that out of other parts,0,1
47,the mass was  0   24  with the diameter at  70   but with the diameter at  45  it was  0   17 ,0,1
48,It appears our engine design currently is excellent,0,1
49,ok  seems like not a huge difference,0,1
50,we have excellent quality right now,0,1
51,Rn were under mass so if you need to you could increase it a bit,0,1
52,Right now our factor of safety is chilling around  2   5 ,0,1
53,So the lower pistonborediameter is the better it is for me,1,0
54,what was the flywheel thickness used ? ,1,0
55,It doesnt affect my mass because I mass the pin designer,0,1
56,You probably want to check with the piston,0,1
57,Yes  I just posted an updated broadcast,0,1
58,But if i increase the thickness i could make it a lot higher,1,0
59,just updated my broadcast to the minimum values for both,0,1
60,thickness is flywheelthickness  equals to   10 ,0,1
61,Increasing the offset increases the mass and decreases the factor of safety ,0,1
62,Whats the effect of pistonborediameter on your results ? ,1,0
