,full_text,Dependencies_between_design_parameters,Effects_of_design_parameters_on_objectives,Exploration_of_design_parameter_values,Monitoring_objective_values,Selected_design_parameter_values_for_objective(s),Tradeoff_between_objectives
0,How low can you go on the piston bore diameter ? ,0,0,1,0,0,0
1,all my factorofsafety values are in the hundreds  i suspect it depends a lot on bearingoffset,0,1,0,0,0,0
2,Hi flywheel  My crankshaft depends on your flywheel shaft diameter pistonborediameter _ s  and thickness of flywheel t _ f  I don t yet know how  but it will probably help that you know ,1,0,0,0,0,0
3,min of  40 ,0,0,0,0,1,0
4,What value works best for your simulation ? ,0,0,1,0,0,0
5,Do you have a value for the bore diameter ? ,0,0,1,0,0,0
6,My flywheel also depends on your crankshaft bearing offset  bearingoffset ,1,0,0,0,0,0
7,Hey I am the conrod I was curious as to what you thought a good piston diameter would be ? ,0,0,1,0,0,0
8, 45  seems decent,0,0,0,0,1,0
9,How does the flywheel thickness factor into the bearing support offset and crankshaft mass ? ,0,1,0,0,0,0
10,My design depends on the piston diameter  what happens if you decrease it ? ,1,0,0,0,0,0
11,Increasing the value of bearingoffset presents two adverse cases where mass increases and factorofsafety decreases so I mass tending towards bearingoffset  equals to   60 ,0,1,0,0,0,0
12, 45  seems decent  lower if we need to reduce mass,0,1,0,0,0,0
13,alright  what factorofsafety  s are you getting  my lowest factorofsafety situation is still  323 ,0,0,0,0,1,0
14,Based on my simulations  it seems like a smaller value of  bearingoffset  will result in an overall higher factorofsafety  do you agree ? ,0,1,0,0,0,0
15, 7   96  has been the best achieved thus far,0,0,0,1,0,0
16,based on bearingoffset  equals to   60  ? ,0,1,0,0,0,0
17,It affects the design variable  bearingoffset  which the length of the bearing support offset,0,0,1,0,0,0
18,that depends on what the thickness of the piston is for me  if I keep it the same and decrease it the mass goes down but so does the factor of safety  I mass trying to get it around  2  w  lowest mass,0,1,0,0,0,0
19,Increasing  bearingoffset  increases the mass and decreases the factorofsafety,0,1,0,0,0,0
20,Yes  but I mass iterating to determine dependence on other parameters rn,0,1,0,0,0,0
21,Does increasing the flywheel thickness increase or decrease  bearingoffset  ? ,1,0,0,0,0,0
22,If you could reduce your  flywheelthickness  variable that would be great  :  ,0,0,1,0,0,0
23,That is what my document specifies  I will keep bearingoffset low unless the piston needs it to be higher,1,0,0,0,0,0
24,alright  factorofsafety increases with df  so rn i have it minimized  but can increase if needed ,0,1,0,0,0,0
25,what seems to be the ideal piston bore diameter on your end ?  Could you explain how it affects mass and factorofsafety ? ,0,1,0,0,0,0
26,does it help you if I reduce that value at all ? ,0,1,0,0,0,0
27,does it help you if I reduce that value at all ? ,0,1,0,0,0,0
28,Hey  How does the value of my crank pin diameter affect your design ? ,0,0,1,0,0,0
29,Hello  Have you determined what you would like the piston bore diameter  pistonborediameter  to be ? ,0,0,1,0,0,0
30,What does changing that do ? ,0,0,1,0,0,0
31,Yeah but  45  should be fine if you dont want to go lower,0,0,1,0,0,0
