,full_text
56,we have excellent quality right now
57,Have you broadcasted your most recent design ? 
58,we have excellent quality right now
65,looks like we re done ? 
68,seems like it
69,Hello piston  based on my information  it seems like it would be best to minimize flywheel thickness  flywheelthickness  and maximize flywheel shaft diameter  flywheeldiameter  Does this work with your design requirements ? 
74,ok our current broadcast is  excellent  so are we done here ? 
76,ok our current broadcast is  excellent  so are we done here ? 
78,ok our current broadcast is  excellent  so are we done here ? 
80,Yes  my most recent design is what is broadcasted
87,It looks like our engine design is excellent then  And yes that works with my design requirements
88,I mass still seeing  poor  on my end
91,oh wait no
95,don t know if we can stop or if we have to go the full  45  minutes
98,yeah uhhh that looks good  nice 
101,lol great
108,I haven t broadcasted yet ho
110, tho
111,we should aim for a smaller total mass  it s a little close to  40 
117,ta said we re good
118,what range of factorofsafety  s are you getting ?  mine are in the hundreds so it s not the limiting system
119,Our quality is back down to good  What changed ? 
121,I dont think we were supposed to finish that quick
122,Our quality is back down to good  What changed ? 
123,Our quality is back down to good  What changed ? 
124,im at  2   07 
126,My mass varies between  0 - 0   12  so let me know if you need me to adjust anything
128,sounds good
129,My mass varies between  0 - 0   12  so let me know if you need me to adjust anything
132,not me
133,mine is still at excellent so I don t know
136,what factorofsafety  s are you getting ? 
139,I just got my mass down to  0   11 
143,what factorofsafety  s are you getting ? 
144,whoever changed please go back
147,what variables do you use ? 
148,mass  equals to   0   07  and factorofsafety  equals to   1   59 
149,nevermind  back at excellent now 
150,nevermind  back at excellent now 
151,nevermind  back at excellent now 
152,I am getting around  2   26 - 2   95 
155,thats if pistonborediameter  equals to   45  where pistonborediameter is the piston bore diameter
156,the  2   95  design also has the lowest mass
157,Make sure you dont drop too much mass though
158,If that reduces your factorofsafety
162,Piston diameter and thickness
163,is that best case or worst case ?  my numbers are in the hundreds so we can play with flywheeldiameter if you use that
166,do we just sit here now ? 
167,alright
168,do we just sit here now ? 
172,not for me  on mine it says fair
174,yeah it does but all of the factorofsafety have been over  2  except one of them
176,I dont use flywheeldiameter I think
179,k
181,quality just went down to poor for me  seems like overall values are changing without anyone updating anything ? 
182,it looks like someone changed the mass to be wrong but yea
186,interstingly pisto-pin is the only factorofsafety under  2   but the whole factorofsafety is still quite low
187,Does the flywheel shaft diameter  flywheeldiameter  affect any variables in your control ? 
189,Does the flywheel shaft diameter  flywheeldiameter  affect any variables in your control ? 
190,Does the flywheel shaft diameter  flywheeldiameter  affect any variables in your control ? 
192,Have you messaged the others about this yet ? 
193,Yeah I noticed the same thing
196,do you think I should try and increase those ? 
198,interestingly piston-pin is the only factorofsafety under  2   but the whole factorofsafety is still quite low
200,interestingly piston-pin is the only factorofsafety under  2   but the whole factorofsafety is still quite low
202,No  I do not believe so
205,what s your mass and factorofsafety
206,I can get mine up to  3   44  max where pistonborediameter  equals to   40 
207,how can you maximize factorofsafety and we can work around that maybe ? 
209,It would be nice if we had a group chat so we didn t have to blindly flail about  not knowing who has been told what yet
213,it keeps changing for me  but none of the Key Design variables change
214,yeah exactly
216,broadcast that
217,idk they haven t been super responsive
218,Done
220,we should try a safe configuration and trim weight from there
222,No  I believe my variables are independent of shaft diameter
223,No only the inner piston bore diameter
226,currently at mass  47   81   factorofsafety  2   32 
227,Alright  thank you 
229,Alright  thank you 
230,Alright  thank you 
232,also you can only see a few of the design variables  so whatever broadcast we had before was working well and this new one isn t as good
237,our mass seems to be going up  are you using the original values ? 
238,our mass seems to be going up  are you using the original values ? 
239,leave yours as is for now  piston is biggest factor rn
240,leave yours as is for now  piston is biggest factor rn
243,I haven t changed a thing
245,Are you having troubles with factorofsafety ? 
246,aaargh I keep forgetting I have to click  check for broadcast 
247,from when it was at excellent
248,I think were at safe right now
249,me either
250,wonderful system  this is 
251,your individual mass ? 
254,we went from excellent to poor  rip
255,We need to trim mass
256,how much weight can you reduce roughly
257,The current broadcast is good if we can trim mass
259,I think its the piston changing but not sure
261,I have not changed any of my values since we were at excellent quality
264,My weight varies between  0   0  and  0   12  so im the wrong person to reduce weight
267,yeah  leave yours in a safe config
268,If I drop my weight way down though my factorofsafety is super trash
269,My individual mass is  1   27 
270,have you been changing anything from when it was at excellent ? 
275,keep it up and we ll trim from there
278,mine is  6   33  I can try and lower it back to  6   26 
280,No  my factorofsafety values are all greater than  300  
281,no
287,how much weight can you trim  generally 
289,how much weigh tcan you trim generally ? 
293,looking at that now
294,I am at about  0   11 
296,I can try and trim a little more tho 
298,piston pin affects factorofsafety most but can t trim much weight
301,me either
302,What mass are you at ? 
305,We need to figure out who has the highest mass and factorofsafety
306, 0   11 
311,yeah
314,might be piston
315,Hello  is your factorofsafety above  1   5  ? 
316,earlier we had pretty good results with a bore diameter of  75 mm  should we give that a try again ? 
319,Crankshaft is at  1   49  for mass
321,What variables do you have listed under Key Design Variables ?  I have  pistonborediameter   bearingoffset   flywheelthickness  and  flywheeldiameter 
324,Not yet
332,what s your factorofsafety ? 
334,what s your factorofsafety ? 
337,mine is  2   47 
345, 2   5 
348,Think I optimized my part with mass  equals to    52  and factorofsafety  equals to   2   01 
354,global is at  2   47   individual is  15886   04 
356,did you already push your broadcast ? 
358,because mine still read as excellent when my diameter was at  80 
361,global just changed to  1   17 
363, 80   150   12   60 
365,shows it as broadcasting for me
369,I think I optimized mine as well my mass is at  0   10  and factorofsafety is  2   77 
372,can you change it just to see
374,those are the same for me  Can you see any other variables ?  I can only see those  4 
375,yep  just give me a sec
378,sweet
380,I got my mass down to  0   10  i think that is as low as i can go and the factor of safety is still  2   77 
381,I got my mass down to  0   10  i think that is as low as i can go and the factor of safety is still  2   77 
383,That s ok  I control the conrod length to crank length ratio  r 1   does that affect you in any way ? 
386,cool
389,alright 
390,Nice 
392,no i only see those  4 
393,That should be good
396,thats the smallest weight and it gives part level factorofsafety of  4   55 
397,We need to have the heavy parts drop mass
400,What weight are you at ? 
401,no I do not think it does  I was able to get my factorofsafety up above  3   4  though
403,Basically  if we can each keep our part factor of safety above  2  while minimizing mass  we ll be golden 
405,Basically  if we can each keep our part factor of safety above  2  while minimizing mass  we ll be golden 
407,I mass about to drop the factorofsafety and mass because rod designer said it might help them
408,min with highest factorofsafety
409,make sure it s broadcasting propperyly  I ve had to click it a couple times to get it to show for all
413,actually mine is just as good with the diameter at  80   the factorofsafety is just a little lower at  2   3 
416,if i go all the way to min weight is cuts factorofsafety and only shaves   03 kg
418,whats your factorofsafety
421,whats yours
424,I think L 1  does affect me though
425,hmm ok
427,can you trim a tiny bit more ? 
429,definitely
430, 2   47 
432,Same for me my factorofsafety drops waaaay down and shaves only  0   12  from mass
433,idk how but our mass earlier was  33   29  or something
434,are you limited by pistonborediameter to determine L ?  we may be able to increase pistonborediameter and reduc eL for a weigh tsavings 
435,most of the mass is in the crank  I think you and the crank have some dependency on one another
436,with a factorofsafety of  2   31 
438,we are back to very good now too
440,yep
443,Yeah  that was nice
444,crank is  30  lbs alone
446,back to very good
447,global is at  2   3  right now
449,i only depend on the piston
450,we may reduce pistonborediameter just a hair because of the given LD ratio if it helps connecting rod reduce mass
452,ya  should chat about that
454,sadly no i am at the lowest limit for the piston diamter  connecting rod thickness  and connecting rod length ratio
455,chat with piston pin to determine that
456,pistonborediameter is min at  40  I think
457,I do not control that  All I can do is the ratio of L : r  and it s not called L 1 
458,alright  guess not then
461,the only dimension that I have access to that was different then was the piston bore diameter
463,alright  guess no then
464,before uploading any new broadcasts copy and paste a message into all your chats so we know its changing
467,before uploading any new broadcasts copy and paste a message into all your chats so we know its changing
468,before uploading any new broadcasts copy and paste a message into all your chats so we know its changing
469,but you can t change that right ? 
474,yeah
479,I haven t changed a thing since we were at excellent
480,Yeah i have the connecting rod at minimum thickness
482,sounds good but do you have any more room to reduce mass ?  I mass about the smallest I can make my parts
484,same
488,And i have the connection rod length ratio at the minimum
489,good idea
491,I mass the low factorofsafety of  2   01   can you cut any more mass out
494,just did    03 kg
497,sweet
498,Yeah  that s not on me 
500,thank you 
501,Minimizing bore diameter helps my stuff too
503,Same  Minimizing the piston bore would help me push stuff further down 
504,I hit up the piston but they never got back to me
505,what mass do you have for the flywheel ? 
508,don t change the broadcast  but if you simulate a minim weight situation  what s the savings ? 
509,what mass are you getting for the piston-pin
510,  52   it s minimized
512,completely
516,Im at  0   1  rn with a factorofsafety of  2   52 
518,still factorofsafety of over  1000 
519,based on the little chart they gave us our design should be at excellent
521,Try and minimize your mass but keep factorofsafety above  2 
525,Try and minimize your mass but keep factorofsafety above  2 
526,my weight is minimized completely factorofsafety  equals to   1212 
527,my mass is minimized
528,at  0   1 
529,Lmao thats massive
530,the program won t let me go any lower
532,same here  it would reduce my masses a bit
533,does changing bearingoffset save any mass ? 
536,Then its probably crankshaft that has to minimize somehow
537,I can reduce my mass by   03  and that reduces factorofsafety by   25  to  1   76 
538,I just saved mass changing flywheelthickness to  30 
539,Because everyone else is min mass
540,true 
541,yeah  working with crankshaft to reduce if it saves mass
542,Havent heard back from piston though
543,dont do that
544,can we try and see the final values if the bore diameter is  75  ? 
545,If you increase the piston bore diameter  pistonborediameter  it increases my factorofsafety
546,we are currently at very good  are anyones values different from what they were when we were at excellent ? 
547,yeah that is what i am thinking as well
