full_text,label
we re probably only trying to keep your factorofsafety going over area 2 right?,Asking_for_information
I dropped my mass by  0   02 ,Providing_information
I chose the smallest values to give smallest weight on my end,Providing_information
the mass was  0   24  with the diameter at  70   but with the diameter at  45  it was  0   17 ,Providing_information
I have mass  equals to   0   12  and factorofsafety  equals to   3   44  for pistonborediameter  equals to   40 ,Providing_information
I don t know what has changed  Ill rebroadcast what I had when we were good ,Providing_information
stop changing,Providing_information
thats my boy max,Providing_information
whoever changed please not go back,Asking_for_information
what on s your primary factorofsafety?,Asking_for_information
we re back to very good,Providing_information
Range of weights was  1   49  to  4   81   My broadcast uses  1   49  with factorofsafety  equals to   4   55 ,Providing_information
My mass is   30  lbs  but the crankshaft mass is always high  I can set it over  50  by myslef ,Providing_information
min of  40 ,Providing_information
current broadcasted is  25   98   factorofsafety is still over  2 ,Providing_information
How appreciable is the change in mass if you prioritize factorofsafety ? ,Asking_for_information
just updated my broadcast  Mass of mine is  1   49 ,Providing_information
so the lower pistonborediameter is not the single better it truly is looking for me,Asking_for_information
suppose how great much does your mass range by,Asking_for_information
my mass varies somewhere between around 0 - 0 12 so let me me know if today you need me anymore to adjust anything,Providing_information
have can you not been seriously changing your broadcasted values slightly since we were at excellent?,Asking_for_information
my system is probably not the limiting part,Providing_information
I guess what I mass saying is if you can marginally increase mass to increasing factorofsafety more noticeably  that might be a better compromise,Providing_information
Increasing the offset increases the mass and decreases the factor of safety ,Providing_information
increasing only the offset increases the mass and decreases of the factor number of safety,Providing_information
if i really reduce all my plasma mass transfer by 03 it reduces factorofsafety by 25 to 1 in 76,Providing_information
mine is  3 ,Providing_information
for 1 flywheelthickness ratio equals equal to 10 flywheeldiameter equals sum to 15 ; and mass equals to 0 52 pounds and the factorofsafety reduction equals equals to 1215 12,Providing_information
Hi  I need the piston diameter pistonborediameter,Asking_for_information
ah i menat  1   47 ,Providing_information
can you you cut any more internal mass out and get closer to that factorofsafety where equals to square 2,Asking_for_information
our body design eventually changed to good do you know that what changed?,Asking_for_information
what s your two component range of wheel weights?,Asking_for_information
I broadcasted a change to lower my mass  factorofsafety is still above  2   0   I saw that after this message  so sorry about not telling you before,Providing_information
lower internal pistonborediameter pressure lowers my skin mass and release factorofsafety,Providing_information
then someone just broadcasted out somethhing different sounds and raised our mass to almost 3 25,Providing_information
How much does your mass range by,Asking_for_information
also if desired it s important increasing flywheelthickness increases mass efficiency but generally decreases weight factorofsafety,Providing_information
Who has the factorofsafety of   57  ?  we need to work on increasing that,Asking_for_information
well i am trying too but it lowers my time factorofsafety as yours well so i ll see if i can already do exactly anything furhter,Providing_information
most recent factorofsafety is  3   01 ,Providing_information
like what parameters you chose,Asking_for_information
i also have all mass equals 3 to 0 12 and an factorofsafety weight equals 1 to 3 and 44 for pistonborediameter equals to 40,Providing_information
usually i have aimed mine with the factorofsafety closest to even 2 ghz and lowest possible mass i can get,Providing_information
It increases mass by  0   03  and increases factorofsafety to  5625   56 ,Providing_information
I lowered my mass by about  5  lbs,Providing_information
It is at a  75  though,Providing_information
that range of the weights was 1 of 49 plus to 4 81 my world broadcast guide uses 1 49 with factorofsafety equals 7 to 4 55,Providing_information
like parameters you chose,Asking_for_information
we are at excellent agian,Providing_information
what value are you changing ? ,Asking_for_information
mass  1   49   factorofsafety  2   47 ,Providing_information
was there even a single particular reason why has you even asked about it maxing out flywheeldiameter?,Asking_for_information
45 seems decent lower mass if also we need to effectively reduce mass,Providing_information
i think you have the third biggest weight contribution so if... you can really optimize it a bit better we should both be close,Providing_information
im at a factorofsafety of just over  2   so I think I mass good unless we need to cut more mass,Providing_information
which are bearing support offest and crank-pin diameter respectivly,Providing_information
Not much it doesn t really do anything to the factor of safety but it brings the mass down,Providing_information
just updated my broadcast to the minimum values for both,Providing_information
now hello have you simply determined at what diameter you would like of the largest piston bore diameter pistonborediameter to be?,Asking_for_information
that was s not a pretty high core mass any chamce you can bring and it straight down again and keep factorofsafety just over ph 2?,Providing_information
i mass not the only one who that is actually changing,Providing_information
also  if you click check for broadcast at the top it says we re at excellent,Providing_information
always think how i optimized my smallest part with total mass equals 10 to 52 and factorofsafety factor equals to 2 01,Providing_information
40 works for a me,Providing_information
ah i menat 1 in 47,Providing_information
hey and i also need information to know what piston bore diameter you are planning to directly use for checking my calculations,Asking_for_information
can you see 51 if you able increase your bore in diamater to 41 percent or 42 if just it can improves anything?,Asking_for_information
Have you been changing your broadcasted values since we were at excellent ? ,Asking_for_information
each increasing its bearingoffset increases double the mass bandwidth and decreases the factorofsafety,Providing_information
I decreased my weight parameter a bit,Providing_information
Have you changed the system at all ?  Our quality has dropped ,Asking_for_information
how strongly appreciable why is the exponential change in personal mass consumption if you prioritize against factorofsafety?,Asking_for_information
Think I optimized my part with mass  equals to    52  and factorofsafety  equals to   2   01 ,Providing_information
based on bearingoffset  equals to   60  ? ,Asking_for_information
does it help you if I reduce that value at all ? ,Asking_for_information
... if you could reduce your actual flywheelthickness variable that function would not be great :,Providing_information
 7   96  has been the best achieved thus far,Providing_information
we both have excellent quality right now,Providing_information
basically 1 if we can for each day keep our part factor range of safety above 2 while not minimizing mass we ll always be golden,Providing_information
what s your mass greater than ,Asking_for_information
stop the changing,Providing_information
What are your current values ? ,Asking_for_information
the mass was originally 0 24 c with the diameter at 70 but later with the diameter estimate at 45 it was a 0... 17,Providing_information
based on everything my simulations provided it seems like a smaller net value of bearingoffset that will result in an estimated overall increasingly higher profit factorofsafety then do you agree?,Asking_for_information
Right now it says we have an excellent design,Providing_information
But if i increase the thickness i could make it a lot higher,Asking_for_information
my design method depends only on varying the piston diameter what happens if can you decrease it?,Asking_for_information
Was there a particular reason why you asked about maxing out flywheeldiameter ? ,Asking_for_information
o hi flywheel my crankshaft depends on your flywheel diameter shaft diameter in pistonborediameter _ a s and thickness of flywheel t _ f if i don t yet know you how or but it really will would probably be help that you know,Providing_information
i don t think so,Providing_information
I ve just broadcasted the most recent simulation but this will definitely not be the final one ,Providing_information
is your heart mass high?,Asking_for_information
conrod length to thumb crank length ration r equals only to − 3,Providing_information
whats your factorofsafety,Asking_for_information
how great low that can let you go on the piston bore diameter?,Asking_for_information
I asked if they changed their broadcasted values from excellent ,Asking_for_information
I still see that our system s factorofsafety is   68  ?  odd,Asking_for_information
that is precisely what my document specifies a i who will never keep bearingoffset low unless the piston needs bring it up to be higher,Providing_information
for that depends on what the thickness of the piston is for making me... if i keep it to the scale same and so decrease it the total mass goes mostly down but so in does being the factor of safety i mass trying to get it around 2 w lowest mass,Providing_information
yeah  the overall mass went up  so I mass about to raise my mass and drop the factorofsafety one of the other designers asked me to,Providing_information
cool  I havent changed anything from excellent,Providing_information
individually  2   47 ,Providing_information
