full_text,label
how widely appreciable is the value change gained in mass production if you just prioritize with factorofsafety?,Tradeoff_between_objectives
the median current television broadcast factorofsafety equals to exactly 5626,Selected_design_parameter_values_for_objective(s)
Can you see if you increase your bore diamater to  41  or  42  if it improves anything ? ,Effects_of_design_parameters_on_objectives
what s your component range of weights ? ,Monitoring_objective_values
what s in your human factorofsafety?,Monitoring_objective_values
just lowered it down another 2 lbs,Tradeoff_between_objectives
okay we re getting still above even a factor of 100 safety of number 2 thought so don t worry about repeating it,Monitoring_objective_values
rn I only see our global factorofsafety as  0   57  and mass as  2   16  ? ,Monitoring_objective_values
bearingoffset equals to  60   dc equals to  15 ,Dependencies_between_design_parameters
just reduced thickness to reduce mass  increased factorofsafety a bit,Effects_of_design_parameters_on_objectives
current broadcasted is  25   98   factorofsafety is still over  2 ,Monitoring_objective_values
flywheelthickness  equals to   10  mm ;  flywheeldiameter  equals to   25  mm ; ,Exploration_of_design_parameter_values
it depends heavily on piston diameter,Effects_of_design_parameters_on_objectives
What value works best for your simulation ? ,Exploration_of_design_parameter_values
someone just broadcasted somethhing different and raised our mass to  3   25 ,Monitoring_objective_values
and factorofsafety?,Monitoring_objective_values
remember what s in your mass and this factorofsafety,Monitoring_objective_values
what s your component power range consist of weights?,Monitoring_objective_values
I chose the smallest values to give smallest weight on my end,Monitoring_objective_values
then what s exactly your factorofsafety?,Monitoring_objective_values
what data are your current values? and parameters you chose,Monitoring_objective_values
i have not,Effects_of_design_parameters_on_objectives
min as of 40,Selected_design_parameter_values_for_objective(s)
If you increase your pistonborediameter what does that do to mass ? ,Effects_of_design_parameters_on_objectives
I haven t changed my upload since I started  My factorofsafety is  3   96  right now,Monitoring_objective_values
in that the case it would be more valuable to keep of the lower level flywheeldiameter on value than to exactly conserve mass,Effects_of_design_parameters_on_objectives
my flywheel also normally depends on your crankshaft gear bearing with offset on bearingoffset,Dependencies_between_design_parameters
what s your mass and factorofsafety,Monitoring_objective_values
How appreciable is the change in mass if you prioritize factorofsafety ? ,Tradeoff_between_objectives
we have excellent quality right now,Monitoring_objective_values
stop changing,Monitoring_objective_values
she not sure where but 0 03 is not a lot out of mass,Monitoring_objective_values
as right now our factor of safety net is chilling in around 2 5,Monitoring_objective_values
whats they the effect exactly of pistonborediameter on improving your laboratory results?,Effects_of_design_parameters_on_objectives
interestingly piston - pin is also the almost only major factorofsafety under 2 but otherwise the almost whole factorofsafety structure is still considered quite significantly low,Monitoring_objective_values
when with bearingoffset dc equals close to 60 and dc equals up to 20 i get factorofsafety function equals to around 8,Effects_of_design_parameters_on_objectives
I do not think it has any effect,Effects_of_design_parameters_on_objectives
i chose the five smallest values to each give smallest weight on my front end,Effects_of_design_parameters_on_objectives
and i don't totally think it has any effect,Effects_of_design_parameters_on_objectives
how a much space does your mass range by,Monitoring_objective_values
leave yours cold as is for now this piston is biggest support factor rn,Monitoring_objective_values
well i didn t change it from that when it said excellent for calling me,Monitoring_objective_values
Have you been changing your broadcasted values since we were at excellent ? ,Monitoring_objective_values
mine is  3 ,Monitoring_objective_values
Hey what mass are you getting ? ,Monitoring_objective_values
overall factorofsafety is  1   7 ,Monitoring_objective_values
How appreciable is the change in mass if you prioritize factorofsafety ? ,Tradeoff_between_objectives
I broadcasted a change to lower my mass  factorofsafety is still above  2   0   I saw that after this message  so sorry about not telling you before,Selected_design_parameter_values_for_objective(s)
is it the factorofsafety highest and mass percent lowest enough when such the offset is simply 150?,Effects_of_design_parameters_on_objectives
can did you send me your current battery values?,Selected_design_parameter_values_for_objective(s)
I now have minimum factorofsafety but i further decreased my mass,Tradeoff_between_objectives
most recent observed factorofsafety is approximately 3 by 01,Monitoring_objective_values
is your mass and factorofsafety,Monitoring_objective_values
it increases pretty good fast,Effects_of_design_parameters_on_objectives
yes currently it currently is at position 2 27,Monitoring_objective_values
bearingoffset equals 1 to 0 60 pa dc equals to 15,Dependencies_between_design_parameters
Try and minimize your mass but keep factorofsafety above  2 ,Tradeoff_between_objectives
i don t know if but mine it is still best at 105,Selected_design_parameter_values_for_objective(s)
this thickness is to flywheelthickness number equals to 10,Exploration_of_design_parameter_values
the mass went up a lot,Monitoring_objective_values
is your mass too high?,Monitoring_objective_values
Who has the factorofsafety of   57  ?  we need to work on increasing that,Monitoring_objective_values
based on bearingoffset  equals to   60  ? ,Effects_of_design_parameters_on_objectives
how appreciable is the smallest change happening in the mass but if so you prioritize any factorofsafety?,Tradeoff_between_objectives
flywheel changed a value now and i once lost 5 lbs lbs,Effects_of_design_parameters_on_objectives
now hey i need to know what double piston stroke bore diameter you are finally planning to use for making my calculations,Exploration_of_design_parameter_values
Hey  How does the value of my crank pin diameter affect your design ? ,Exploration_of_design_parameter_values
can increase needle diameter is we need no higher sensitivity factorofsafety,Effects_of_design_parameters_on_objectives
is my 45 mm mm bore diameter working for better for you? i earlier was getting better on results at 40,Exploration_of_design_parameter_values
basically if we can also each keep our energy part iii factor of safety above 2 atm while minimizing mass we t ll already be golden,Tradeoff_between_objectives
yes  currently it is at  2   27 ,Monitoring_objective_values
