body,intent_2
"Hi piston! My crankshaft depends on your bore diameter. I dont yet know how, but it will probably help that you know.",Dependencies between design parameters
"Hi flywheel! My crankshaft depends on your flywheel shaft diameter(d_s) and thickness of flywheel(t_f). I dont yet know how, but it will probably help that you know!",Dependencies between design parameters
min of 40,Selected design parameter values for objective(s)
My flywheel also depends on your crankshaft bearing offset (c),Dependencies between design parameters
45 seems decent,Selected design parameter values for objective(s)
"alright, what fos #s are you getting. my lowest fos situation is still 323",Selected design parameter values for objective(s)
"Yes, but Im iterating to determine dependence on other parameters rn",Dependencies between design parameters
"the mass was 0.24 with the diameter at 70, but with the diameter at 45 it was 0.17",Selected design parameter values for objective(s)
"im at a FOS of just over 2, so I think Im good unless we need to cut more mass",Tradeoff between objectives
"Ok, and we want to increase FOS and decrease mass",Tradeoff between objectives
what variables do you use?,Dependencies between design parameters
m = 0.07 and fos = 1.59,Selected design parameter values for objective(s)
Piston diameter and thickness,Dependencies between design parameters
"thats a pretty high mass, any chamce you can bring it down and keep FOS just over 2?",Tradeoff between objectives
Can you send me your current values?,Selected design parameter values for objective(s)
thickness of I-section = 3,Selected design parameter values for objective(s)
Unsure relationship for increasing ds? thoughts?,Dependencies between design parameters
"Just updated for D = 40, Im getting fos of 3.44",Selected design parameter values for objective(s)
conrod length to crank length ration (r) = 3,Selected design parameter values for objective(s)
I have m = 0.12 and fos = 3.44 for D = 40,Selected design parameter values for objective(s)
Let me know if I can adjust my variables to better suite your requirements,Dependencies between design parameters
Im leaving it as 45 at least for now,Selected design parameter values for objective(s)
"did you change the diameter because mine says 80, but at 105 it was excellent",Dependencies between design parameters
My weight varies between 0.0 and 0.12 so im the wrong person to reduce weight,Dependencies between design parameters
"I am using the best results that I have, where c is minimum and d_c is maximum. Inve tried other things but that is my best by far, and is the only solution I have uploaded",Selected design parameter values for objective(s)
it depends heavily on piston diameter,Dependencies between design parameters
"I decreased ds to 15 mm to conserve some mass, as my FOS values are all greater than 300",Tradeoff between objectives
what is your diameter at currently?,Selected design parameter values for objective(s)
What all affects the piston diameter? Keeping the diameter smaller improves both the pins mass and factor of safety. What factors drive up the diameter?,Dependencies between design parameters
"What variables do you have listed under Key Design Variables? I have (D), (c), (tf), and (ds)",Dependencies between design parameters
I have both my values fully optimized,Tradeoff between objectives
